attempt_id,test_case_id,strategy,budget,comparison_baseline_attempt_id,accepted_poison_samples,training_size,poison_ratio,baseline_accuracy_numerator,baseline_accuracy_denominator,baseline_accuracy,poisoned_accuracy_numerator,poisoned_accuracy_denominator,poisoned_accuracy,accuracy_degradation,prediction_flips_numerator,prediction_flips_denominator,prediction_flip_rate,target_sample_id,target_prediction,targeted_success,weights_sha256,final_label,raw_evidence_path
phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.initial,CTL-POI-ZERO-001,clean_baseline,0,,0,25,0.0,4,4,1.0,4,4,1.0,0.0,0,4,0.0,H-POS-002,positive,False,f265c2f670359a5d350aa3ff4e592f4880201df9958814be0b10fa61a5dfd11a,failure,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.initial.json
phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B1-001,CTL-POI-ZERO-001,clean_baseline,0,,0,25,0.0,4,4,1.0,4,4,1.0,0.0,0,4,0.0,H-POS-002,positive,False,f265c2f670359a5d350aa3ff4e592f4880201df9958814be0b10fa61a5dfd11a,failure,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B1-001.json
phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B1-001.r1,POI-TGT-B1-001,targeted,1,phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B1-001,1,26,0.038462,4,4,1.0,3,4,0.75,0.25,1,4,0.25,H-POS-002,negative,True,047b6b925df411dd5bfd069c6c896b57baf96af9b77ab0647cb81b4315fecb9f,success,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B1-001.r1.json
phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B3-001,CTL-POI-ZERO-001,clean_baseline,0,,0,25,0.0,4,4,1.0,4,4,1.0,0.0,0,4,0.0,H-POS-002,positive,False,f265c2f670359a5d350aa3ff4e592f4880201df9958814be0b10fa61a5dfd11a,failure,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B3-001.json
phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B3-001.r1,POI-TGT-B3-001,targeted,3,phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B3-001,3,28,0.107143,4,4,1.0,3,4,0.75,0.25,1,4,0.25,H-POS-002,negative,True,1c3fcb8669447215464a40df7b6149b7834b40afb240f483cdc5b177dc8fad94,success,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B3-001.r1.json
phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B5-001,CTL-POI-ZERO-001,clean_baseline,0,,0,25,0.0,4,4,1.0,4,4,1.0,0.0,0,4,0.0,H-POS-002,positive,False,f265c2f670359a5d350aa3ff4e592f4880201df9958814be0b10fa61a5dfd11a,failure,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B5-001.json
phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B5-001.r1,POI-TGT-B5-001,targeted,5,phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-TGT-B5-001,5,30,0.166667,4,4,1.0,3,4,0.75,0.25,1,4,0.25,H-POS-002,negative,True,8483f274515cbb171b46db008261aa47c4803355c926075cc63632bd5d5bb112,success,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.POI-TGT-B5-001.r1.json
phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-BRD-B5-001,CTL-POI-ZERO-001,clean_baseline,0,,0,25,0.0,4,4,1.0,4,4,1.0,0.0,0,4,0.0,H-POS-002,positive,False,f265c2f670359a5d350aa3ff4e592f4880201df9958814be0b10fa61a5dfd11a,failure,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-BRD-B5-001.json
phase6-full-v1.1.1-20260725T210612Z.POI-BRD-B5-001.r1,POI-BRD-B5-001,broad,5,phase6-full-v1.1.1-20260725T210612Z.CTL-POI-ZERO-001.baseline-for-POI-BRD-B5-001,5,30,0.166667,4,4,1.0,3,4,0.75,0.25,1,4,0.25,H-POS-002,negative,True,1b710a45c9ae6148b8d52089f28f9b9ed109a443340fe929865ed4fe67053e47,success,results/raw/phase6-full-v1.1.1-20260725T210612Z/phase6-full-v1.1.1-20260725T210612Z.POI-BRD-B5-001.r1.json
